CCAA,Comunidades,Fecha,Casos,Hospitalizados,UCI,Fallecidos,Recuperados,nuevos_casos,Poblacion,letalidad,mortalidad,tasa_hospitalización
AN,Andalucía,2020-02-20,0,0,0,0,0,0,8446561,0,0,0
AR,Aragon,2020-02-20,0,0,0,0,0,0,1324397,0,0,0
AS,Asturias,2020-02-20,0,0,0,0,0,0,1019993,0,0,0
IB,Islas Baleares,2020-02-20,1,0,0,0,0,0,1198576,0,0,0
CN,Canarias,2020-02-20,1,0,0,0,0,0,2220270,0,0,0
CB,Cantabria,2020-02-20,0,0,0,0,0,0,581949,0,0,0
CM,Castilla-La Mancha,2020-02-20,0,0,0,0,0,0,2038440,0,0,0
CL,Castilla y León,2020-02-20,0,0,0,0,0,0,2402877,0,0,0
CT,Cataluña,2020-02-20,0,0,0,0,0,0,7609499,0,0,0
CE,Ceuta,2020-02-20,0,0,0,0,0,0,84434,0,0,0
VC,C. Valenciana,2020-02-20,0,26,0,0,0,0,4998711,0,0,Inf
EX,Extremadura,2020-02-20,0,0,0,0,0,0,1062797,0,0,0
GA,Galicia,2020-02-20,0,0,0,0,0,0,2698764,0,0,0
MD,Madrid,2020-02-20,0,0,0,0,0,0,6685471,0,0,0
ML,Melilla,2020-02-20,0,0,0,0,0,0,84286,0,0,0
MC,Murcia,2020-02-20,0,0,0,0,0,0,1494442,0,0,0
NC,Navarra,2020-02-20,0,0,0,0,0,0,652526,0,0,0
PV,País Vasco,2020-02-20,0,0,0,0,0,0,2181919,0,0,0
RI,La Rioja,2020-02-20,0,0,0,0,0,0,314487,0,0,0
AN,Andalucía,2020-02-21,0,0,0,0,0,0,8446561,0,0,0
AR,Aragon,2020-02-21,0,0,0,0,0,0,1324397,0,0,0
AS,Asturias,2020-02-21,0,0,0,0,0,0,1019993,0,0,0
IB,Islas Baleares,2020-02-21,1,0,0,0,0,0,1198576,0,0,0
CN,Canarias,2020-02-21,1,0,0,0,0,0,2220270,0,0,0
CB,Cantabria,2020-02-21,0,0,0,0,0,0,581949,0,0,0
CM,Castilla-La Mancha,2020-02-21,0,0,0,0,0,0,2038440,0,0,0
CL,Castilla y León,2020-02-21,0,0,0,0,0,0,2402877,0,0,0
CT,Cataluña,2020-02-21,0,0,0,0,0,0,7609499,0,0,0
CE,Ceuta,2020-02-21,0,0,0,0,0,0,84434,0,0,0
VC,C. Valenciana,2020-02-21,0,30,1,0,0,0,4998711,0,0,Inf
EX,Extremadura,2020-02-21,0,0,0,0,0,0,1062797,0,0,0
GA,Galicia,2020-02-21,0,0,0,0,0,0,2698764,0,0,0
MD,Madrid,2020-02-21,0,0,0,0,0,0,6685471,0,0,0
ML,Melilla,2020-02-21,0,0,0,0,0,0,84286,0,0,0
MC,Murcia,2020-02-21,0,0,0,0,0,0,1494442,0,0,0
NC,Navarra,2020-02-21,0,0,0,0,0,0,652526,0,0,0
PV,País Vasco,2020-02-21,0,0,0,0,0,0,2181919,0,0,0
RI,La Rioja,2020-02-21,0,0,0,0,0,0,314487,0,0,0
AN,Andalucía,2020-02-22,0,0,0,0,0,0,8446561,0,0,0
AR,Aragon,2020-02-22,0,0,0,0,0,0,1324397,0,0,0
AS,Asturias,2020-02-22,0,0,0,0,0,0,1019993,0,0,0
IB,Islas Baleares,2020-02-22,1,0,0,0,0,0,1198576,0,0,0
CN,Canarias,2020-02-22,1,0,0,0,0,0,2220270,0,0,0
